HIP_CENTER,,,SPINE,,,SHOULDER_CENTER,,,HEAD,,,SHOULDER_LEFT,,,ELBOW_LEFT,,,WRIST_LEFT,,,HAND_LEFT,,,SHOULDER_RIGHT,,,ELBOW_RIGHT,,,WRIST_RIGHT,,,HAND_RIGHT,,,HIP_LEFT,,,KNEE_LEFT,,,ANKLE_LEFT,,,FOOT_LEFT,,,HIP_RIGHT,,,KNEE_RIGHT,,,ANKLE_RIGHT,,,FOOT_RIGHT,,,NECK CoM,,,TORSO_CoM,,,RIGHT_UPPER_ARM_CoM,,,RIGHT_LOWER_ARM_CoM,,,LEFT_UPPER_ARM_CoM,,,LEFT_LOWER_ARM_CoM,,,RIGHT_UPPER_LEG_CoM,,,RIGHT_LOWER_LEG_CoM,,,LEFT_UPPER_LEG_CoM,,,LEFT_LOWER_LEG_CoM,,,
x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,Neck,Torso,Right_Upper_Arm,Right_Lower_Arm,Left_Upper_Arm,Left_Lower_Arm,Right_Upper_Leg,Right_Lower_Leg,Left_Upper_Leg,Left_Lower_Leg,Energy Expended This Frame,Total Energy Expended,
-0.0197801,0.0623362,2.04705,-0.0325508,0.13579,2.05819,-0.115447,0.503388,2.0645,-0.19459,0.658178,2.04739,-0.272637,0.333114,2.13087,-0.292533,0.0955175,2.14753,-0.34771,-0.135643,2.12256,-0.3699,-0.21473,2.08371,0.0518144,0.40585,2.01657,0.226666,0.134018,1.98066,0.279322,-0.101049,1.92886,0.28996,-0.165779,1.92225,-0.0762006,-0.0307857,2.06483,-0.0669963,-0.454655,2.08727,-0.0451051,-0.788944,2.11388,-0.0683896,-0.858373,2.07437,0.0695767,0.00231502,2.02068,0.15439,-0.470771,2.05912,0.152028,-0.835148,2.18791,0.128809,-0.871857,2.08254,-0.16742,0.627246,2.22042,-0.0627115,0.262354,1.90673,0.130886,0.253738,1.8787,0.212616,0.0138534,1.64278,-0.26563,0.201457,2.01085,-0.26903,-0.0168608,1.7943,0.0953739,-0.199488,1.73734,0.126857,-0.540651,1.75827,-0.060979,-0.20672,1.76813,-0.04641,-0.51485,1.73927,1.03278e-006,3.03036e-006,1.13161e-007,1.59297e-008,1.03339e-007,2.60948e-008,1.5205e-006,1.473e-006,2.12747e-007,2.08973e-008,7.54881e-006,0.000108872,
-0.0206158,0.0621455,2.06067,-0.0317426,0.13598,2.07416,-0.109463,0.506452,2.0812,-0.183648,0.662211,2.06498,-0.269753,0.337035,2.14345,-0.285335,0.0961543,2.15552,-0.339477,-0.135831,2.12223,-0.334194,-0.179911,2.08057,0.0573332,0.405645,2.02993,0.227822,0.134737,1.9908,0.278209,-0.100038,1.93207,0.288085,-0.164661,1.924,-0.0783643,-0.0297772,2.0772,-0.0680884,-0.456666,2.09384,-0.0457099,-0.78909,2.11616,-0.0678774,-0.858222,2.07453,0.0682538,9.06258e-006,2.03487,0.151956,-0.485534,2.09331,0.14391,-0.848858,2.22542,0.117454,-0.889119,2.12502,-0.15828,0.631078,2.23894,-0.0603243,0.263687,1.92079,0.134023,0.253979,1.88974,0.212634,0.0145805,1.64839,-0.260891,0.203599,2.02051,-0.262546,-0.0166723,1.79751,0.0937742,-0.206756,1.75795,0.122489,-0.552439,1.78795,-0.0623654,-0.207147,1.7762,-0.0471125,-0.515743,1.74294,1.25872e-006,2.35514e-006,1.45901e-007,1.52565e-008,1.09685e-007,8.30605e-008,1.0949e-006,6.93439e-007,1.58862e-007,1.43834e-008,5.92935e-006,0.000114801,
-0.020848,0.0624545,2.07325,-0.0305808,0.136612,2.08916,-0.104644,0.508992,2.09532,-0.165259,0.671177,2.08512,-0.266556,0.340088,2.15255,-0.273631,0.0979,2.16469,-0.323106,-0.134643,2.12522,-0.315858,-0.184511,2.07974,0.0667521,0.405959,2.04564,0.229477,0.136154,2.00047,0.277114,-0.0983186,1.93517,0.280969,-0.148718,1.92931,-0.0799534,-0.0285059,2.08847,-0.068891,-0.45836,2.09902,-0.0464449,-0.789046,2.11834,-0.066924,-0.858079,2.07498,0.067885,-0.00150182,2.04738,0.148448,-0.495095,2.12285,0.138944,-0.856505,2.24574,0.134663,-0.924423,2.20378,-0.145748,0.637291,2.25743,-0.058197,0.265008,1.93317,0.139228,0.254793,1.90167,0.21287,0.0158986,1.65376,-0.253888,0.205854,2.0291,-0.250749,-0.0154393,1.80262,0.0921232,-0.211471,1.77585,0.11898,-0.559562,1.8086,-0.0633839,-0.207327,1.7832,-0.047749,-0.516426,1.74599,6.78392e-007,2.54139e-006,1.30597e-007,1.56167e-008,2.33629e-007,8.43e-008,1.0498e-006,4.70514e-007,2.31043e-007,1.92801e-008,5.45456e-006,0.000120256,
-0.0203871,0.0629219,2.0867,-0.0285081,0.137404,2.10464,-0.0989406,0.511536,2.10931,-0.153509,0.675397,2.09649,-0.253552,0.352454,2.16847,-0.264253,0.0996938,2.17181,-0.30478,-0.133506,2.1316,-0.29988,-0.190794,2.08299,0.0760835,0.405433,2.05942,0.23195,0.137623,2.01012,0.276048,-0.0964225,1.93834,0.275755,-0.137781,1.9333,-0.0807604,-0.0263022,2.10221,-0.0690873,-0.461272,2.1053,-0.0473133,-0.789016,2.12043,-0.0657917,-0.857982,2.07548,0.0677839,-0.00275493,2.06014,0.143093,-0.50037,2.15198,0.136063,-0.86141,2.25862,0.117763,-0.9076,2.17572,-0.136323,0.640944,2.27113,-0.0553382,0.266405,1.9459,0.144776,0.255236,1.91268,0.213461,0.0173123,1.65915,-0.243369,0.212509,2.03993,-0.239108,-0.0142078,1.80829,0.0897997,-0.214251,1.79369,0.11557,-0.563777,1.82599,-0.0638111,-0.207628,1.79172,-0.0481899,-0.517619,1.74945,3.14331e-006,6.52132e-006,1.50234e-007,1.67743e-008,1.238e-007,1.42623e-007,7.74228e-007,2.6778e-007,2.0087e-007,2.18077e-008,1.13627e-005,0.000131618,
-0.0190797,0.063434,2.09973,-0.0248027,0.138207,2.12153,-0.0800099,0.519298,2.13597,-0.127676,0.681502,2.11892,-0.243945,0.359645,2.17842,-0.256329,0.102003,2.17784,-0.277399,-0.131941,2.14456,-0.26668,-0.168765,2.10305,0.087572,0.404391,2.0741,0.235065,0.139107,2.0195,0.275131,-0.0943052,1.94211,0.27204,-0.130671,1.93662,-0.0810678,-0.0241694,2.11422,-0.0687943,-0.464716,2.11194,-0.0487195,-0.78897,2.12256,-0.0641705,-0.857911,2.07604,0.0680425,-0.00382788,2.07235,0.138204,-0.503287,2.17597,0.131938,-0.859927,2.26655,0.10785,-0.900874,2.18624,-0.11215,0.648432,2.29764,-0.0459528,0.270242,1.96431,0.151639,0.255444,1.924,0.214385,0.0188255,1.66467,-0.235129,0.216975,2.04745,-0.224273,-0.0125799,1.81627,0.087828,-0.21595,1.80911,0.111839,-0.564371,1.8392,-0.0638173,-0.208187,1.79967,-0.0486507,-0.519026,1.75308,1.25457e-006,2.97265e-006,2.27607e-007,2.81699e-008,2.53182e-007,1.80372e-007,5.58923e-007,1.52527e-007,2.09268e-007,3.09396e-008,5.86821e-006,0.000137487,
-0.0166919,0.0644416,2.11218,-0.019897,0.139361,2.13665,-0.0672007,0.52248,2.14974,-0.109533,0.684248,2.13421,-0.230845,0.367454,2.19167,-0.243833,0.108469,2.18644,-0.253232,-0.125915,2.15944,-0.24769,-0.180693,2.11943,0.10306,0.40316,2.09099,0.239999,0.139982,2.03062,0.274801,-0.0923667,1.94807,0.269451,-0.125949,1.93987,-0.080776,-0.0219785,2.12528,-0.0678028,-0.468553,2.11985,-0.0511246,-0.789262,2.12505,-0.0629754,-0.858047,2.07664,0.0692838,-0.0042447,2.08515,0.134241,-0.505085,2.19416,0.12963,-0.861361,2.2724,0.10288,-0.902192,2.18953,-0.0954362,0.651633,2.31334,-0.0389052,0.272185,1.97647,0.161238,0.255277,1.93715,0.216319,0.0200081,1.67184,-0.223099,0.223684,2.05771,-0.208867,-0.00733065,1.82614,0.0866688,-0.216893,1.8223,0.109242,-0.565709,1.84916,-0.0632708,-0.208888,1.80775,-0.0492359,-0.520735,1.75739,1.50226e-006,4.98963e-006,3.44658e-007,4.45286e-008,2.15435e-007,8.54071e-008,5.43133e-007,7.1356e-008,3.39995e-007,3.20602e-008,8.16846e-006,0.000145655,
-0.011412,0.066669,2.12883,-0.0116867,0.141602,2.15543,-0.0486955,0.525468,2.16438,-0.0898368,0.687014,2.1462,-0.216439,0.375078,2.20414,-0.234384,0.113941,2.19387,-0.238223,-0.121561,2.16864,-0.228915,-0.164551,2.13743,0.123428,0.401214,2.11026,0.246842,0.140519,2.04414,0.275008,-0.0903587,1.95576,0.267442,-0.122569,1.94404,-0.0787116,-0.018168,2.14107,-0.0668287,-0.472105,2.1282,-0.0539731,-0.789724,2.1273,-0.0614352,-0.85824,2.07721,0.0729002,-0.00423969,2.10193,0.131641,-0.507015,2.20806,0.127875,-0.862053,2.27488,0.100028,-0.901335,2.18624,-0.0748074,0.65474,2.32771,-0.0278748,0.274604,1.99097,0.174027,0.254614,1.95257,0.219281,0.0210775,1.68076,-0.211886,0.229839,2.06706,-0.198589,-0.00320189,1.83313,0.0871018,-0.217713,1.83537,0.10744,-0.566795,1.85593,-0.0619769,-0.208778,1.81802,-0.0500119,-0.522397,1.76178,1.7258e-006,5.79715e-006,2.98026e-007,6.89576e-008,1.76821e-007,7.68972e-008,5.03603e-007,4.29369e-008,3.09009e-007,1.88586e-008,9.01807e-006,0.000154673,
-0.00515755,0.069309,2.14514,-0.00305491,0.143696,2.17228,-0.0239616,0.525053,2.1774,-0.0701365,0.687592,2.15672,-0.204888,0.380365,2.21295,-0.224816,0.1198,2.2041,-0.226214,-0.117234,2.17587,-0.21717,-0.155637,2.14957,0.141863,0.399426,2.12598,0.253931,0.14134,2.05876,0.2771,-0.0877962,1.96738,0.265999,-0.120547,1.95037,-0.0759273,-0.0141843,2.15755,-0.0661401,-0.474424,2.13459,-0.0566185,-0.790089,2.12907,-0.0596051,-0.858388,2.07777,0.0773667,-0.00412197,2.11878,0.129527,-0.509284,2.22064,0.12652,-0.862379,2.27486,0.0988202,-0.901197,2.1826,-0.050813,0.654828,2.34042,-0.013504,0.275636,2.00458,0.186023,0.25416,1.96683,0.223139,0.0224991,1.69178,-0.201961,0.235077,2.07602,-0.189523,0.00107809,1.84047,0.0881038,-0.218629,1.8479,0.106004,-0.567869,1.86114,-0.060498,-0.208069,1.82776,-0.0508221,-0.523508,1.76516,1.65522e-006,4.35959e-006,3.25607e-007,9.61552e-008,2.09174e-007,7.53362e-008,3.29743e-007,1.60468e-008,1.93446e-007,1.10886e-008,7.27141e-006,0.000161945,
0.00234029,0.0709681,2.15896,0.00677497,0.144916,2.18712,-0.00387208,0.524924,2.18827,-0.046905,0.687444,2.16926,-0.190601,0.384406,2.22137,-0.213941,0.126019,2.21479,-0.216975,-0.112405,2.18336,-0.209481,-0.150278,2.15763,0.158293,0.396951,2.14072,0.263465,0.141221,2.07622,0.279727,-0.0858898,1.98062,0.265403,-0.120782,1.95977,-0.0718276,-0.0113527,2.17027,-0.0657187,-0.475837,2.1396,-0.0588824,-0.790411,2.13033,-0.0578552,-0.858633,2.07832,0.0830468,-0.00444311,2.13297,0.128605,-0.511858,2.22975,0.126027,-0.862117,2.27341,0.0992616,-0.901049,2.17903,-0.0274196,0.654679,2.35307,-0.000710367,0.276345,2.01603,0.198226,0.252941,1.98196,0.228249,0.0232501,1.70468,-0.190135,0.2399,2.085,-0.181071,0.00572086,1.8481,0.0901298,-0.219861,1.85782,0.105418,-0.568826,1.86431,-0.0585727,-0.207465,1.83531,-0.0515848,-0.524227,1.76775,1.52765e-006,3.18599e-006,4.14031e-007,1.37482e-007,2.17103e-007,4.72925e-008,1.94912e-007,7.38524e-009,1.02699e-007,6.08642e-009,5.84063e-006,0.000167785,
0.00880469,0.0722031,2.16929,0.0149872,0.1456,2.19849,0.0140004,0.52382,2.19821,-0.0232925,0.687032,2.18201,-0.174482,0.388128,2.2316,-0.204418,0.129738,2.22536,-0.211256,-0.1093,2.18888,-0.204529,-0.146174,2.16428,0.177262,0.394849,2.15866,0.273284,0.139428,2.09489,0.284446,-0.0859733,1.99867,0.267418,-0.124545,1.97519,-0.0683116,-0.00927051,2.17937,-0.0657727,-0.47621,2.1433,-0.060893,-0.790777,2.13113,-0.0560446,-0.858949,2.07872,0.0883219,-0.00476838,2.14383,0.128621,-0.51448,2.23629,0.126193,-0.861698,2.27192,0.100907,-0.900944,2.17615,-0.00501775,0.65386,2.36532,0.0105759,0.276406,2.02543,0.211756,0.25111,1.99917,0.234358,0.0224615,1.72012,-0.178083,0.243397,2.09477,-0.174667,0.00858785,1.85486,0.0923828,-0.221117,1.86523,0.105493,-0.569737,1.8664,-0.0570985,-0.206737,1.84076,-0.0524396,-0.524532,1.76961,9.50546e-007,2.06513e-006,2.27275e-007,1.23932e-007,2.37986e-007,5.64202e-008,1.03673e-007,3.08813e-009,6.59177e-008,4.71326e-009,3.83868e-006,0.000171624,
