HIP_CENTER,,,SPINE,,,SHOULDER_CENTER,,,HEAD,,,SHOULDER_LEFT,,,ELBOW_LEFT,,,WRIST_LEFT,,,HAND_LEFT,,,SHOULDER_RIGHT,,,ELBOW_RIGHT,,,WRIST_RIGHT,,,HAND_RIGHT,,,HIP_LEFT,,,KNEE_LEFT,,,ANKLE_LEFT,,,FOOT_LEFT,,,HIP_RIGHT,,,KNEE_RIGHT,,,ANKLE_RIGHT,,,FOOT_RIGHT,,,NECK CoM,,,TORSO_CoM,,,RIGHT_UPPER_ARM_CoM,,,RIGHT_LOWER_ARM_CoM,,,LEFT_UPPER_ARM_CoM,,,LEFT_LOWER_ARM_CoM,,,RIGHT_UPPER_LEG_CoM,,,RIGHT_LOWER_LEG_CoM,,,LEFT_UPPER_LEG_CoM,,,LEFT_LOWER_LEG_CoM,,,
x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,Neck,Torso,Right_Upper_Arm,Right_Lower_Arm,Left_Upper_Arm,Left_Lower_Arm,Right_Upper_Leg,Right_Lower_Leg,Left_Upper_Leg,Left_Lower_Leg,Energy Expended This Frame,Total Energy Expended,
0.0609883,0.0687103,1.66075,0.057326,0.134278,1.65339,0.0390144,0.462114,1.63221,0.0481557,0.626125,1.54738,-0.14289,0.360155,1.65491,-0.248953,0.148086,1.64702,-0.325661,-0.0475501,1.58937,-0.320102,-0.11098,1.56083,0.213573,0.359537,1.64799,0.29945,0.11239,1.68008,0.332292,-0.0998984,1.66244,0.341446,-0.155908,1.6402,-0.0147458,-0.0111792,1.66539,-0.0270155,-0.44835,1.74399,-0.0048662,-0.741795,1.79725,-0.00535819,-0.786427,1.71168,0.145662,-0.0114571,1.66251,0.151542,-0.390526,1.56384,0.159813,-0.748515,1.48307,0.159321,-0.793147,1.3975,0.0470719,0.587649,1.71698,0.0463763,0.24617,1.52711,0.241121,0.221806,1.56419,0.265458,0.00524911,1.40452,-0.184166,0.238873,1.55191,-0.241453,0.0422452,1.35993,0.126561,-0.171181,1.37391,0.128901,-0.471563,1.26142,-0.0177836,-0.195686,1.45185,-0.013199,-0.49272,1.46607,6.1601e-008,2.26006e-007,1.18237e-008,2.34776e-009,1.79943e-008,6.46391e-009,3.10536e-008,6.83239e-009,9.96187e-009,9.41163e-010,3.75026e-007,3.75026e-007,
0.0617536,0.0688679,1.66402,0.057992,0.134634,1.65687,0.0390705,0.463726,1.63716,0.0498909,0.628099,1.55104,-0.141774,0.360369,1.65921,-0.247911,0.147536,1.65222,-0.323882,-0.047897,1.59222,-0.317957,-0.110013,1.56323,0.214687,0.360554,1.65239,0.300732,0.113652,1.68285,0.333697,-0.09862,1.66327,0.341981,-0.15522,1.64046,-0.0138945,-0.0111653,1.66827,-0.0269852,-0.445168,1.74363,-0.00370803,-0.743505,1.79707,-0.00416688,-0.788226,1.71091,0.146544,-0.0111437,1.66566,0.154918,-0.389662,1.56657,0.160445,-0.748942,1.48379,0.159986,-0.793663,1.39763,0.0480391,0.589585,1.72163,0.0467572,0.24699,1.53092,0.242247,0.222877,1.56756,0.266587,0.00631654,1.40604,-0.183152,0.238716,1.55637,-0.240267,0.0418683,1.36331,0.128375,-0.170679,1.37641,0.13056,-0.471382,1.26285,-0.0174082,-0.194325,1.45292,-0.012707,-0.49211,1.46585,2.11229e-007,4.59258e-007,1.95562e-008,1.80505e-009,5.18893e-008,1.74085e-008,2.27642e-008,2.31037e-008,5.04774e-009,2.03787e-010,8.12265e-007,1.18729e-006,
0.0626873,0.0692132,1.66718,0.0590297,0.135194,1.66063,0.0408062,0.466109,1.6454,0.0529292,0.631198,1.55883,-0.139176,0.361659,1.66722,-0.246269,0.147187,1.66017,-0.321542,-0.0483783,1.59774,-0.314192,-0.109343,1.56862,0.216489,0.361742,1.65869,0.302552,0.114771,1.68575,0.334439,-0.0980289,1.66369,0.342335,-0.154956,1.64061,-0.0130533,-0.0108744,1.67074,-0.0269274,-0.443941,1.74354,-0.00352316,-0.743859,1.79702,-0.00399456,-0.788589,1.71074,0.147345,-0.0107805,1.66833,0.157977,-0.389239,1.56882,0.163171,-0.749488,1.48939,0.162448,-0.794135,1.40258,0.0506171,0.592546,1.73028,0.0479951,0.248256,1.53621,0.243949,0.223961,1.57189,0.267664,0.00703508,1.40744,-0.181159,0.239158,1.56388,-0.238594,0.0415195,1.36897,0.130018,-0.170344,1.3785,0.132955,-0.471433,1.2661,-0.0170254,-0.193679,1.45394,-0.0126065,-0.491749,1.46579,1.5215e-006,3.36666e-006,1.3663e-007,8.24133e-009,4.12686e-007,2.12512e-007,2.79151e-007,1.31852e-006,6.31647e-007,1.3144e-006,9.20195e-006,1.03892e-005,
0.0660091,0.0697714,1.67529,0.0635671,0.136476,1.67418,0.0481788,0.472103,1.66734,0.0590534,0.639142,1.57993,-0.131243,0.366122,1.68565,-0.238614,0.150728,1.68499,-0.312496,-0.0455033,1.61871,-0.301582,-0.107776,1.58831,0.223782,0.365842,1.67753,0.305876,0.116134,1.69096,0.337741,-0.0968102,1.66505,0.343694,-0.154483,1.64097,-0.0103093,-0.0102814,1.67672,-0.0231531,-0.412048,1.73887,-0.00430584,-0.70398,1.78589,-0.00449624,-0.761104,1.702,0.150022,-0.0102279,1.67491,0.169858,-0.389123,1.57877,0.189074,-0.718786,1.53466,0.188151,-0.763254,1.44596,0.0579054,0.600072,1.75352,0.0529547,0.251294,1.55014,0.248939,0.226529,1.58319,0.270448,0.00811977,1.4102,-0.173833,0.242919,1.5842,-0.231576,0.0442152,1.38822,0.136218,-0.170059,1.38555,0.148598,-0.458674,1.28896,-0.0142496,-0.179845,1.45449,-0.011368,-0.462036,1.45925,2.11722e-006,4.81894e-006,1.44468e-007,1.75088e-008,4.90312e-007,2.76981e-007,9.94554e-007,2.07103e-006,1.96762e-007,2.93229e-007,1.1421e-005,2.18102e-005,
0.0721744,0.0696803,1.68867,0.0707079,0.137149,1.69169,0.0577852,0.477336,1.68921,0.0679964,0.649586,1.60818,-0.122566,0.371029,1.70851,-0.230266,0.154512,1.70927,-0.300669,-0.0426583,1.64639,-0.287152,-0.107026,1.62121,0.231268,0.367862,1.69461,0.310926,0.117495,1.69825,0.342954,-0.0952944,1.66701,0.347425,-0.15373,1.64155,-0.00505832,-0.00999176,1.68785,-0.0213474,-0.398151,1.7373,-0.00427859,-0.683913,1.78038,-0.00502568,-0.744442,1.69672,0.155408,-0.0107489,1.68634,0.19125,-0.388929,1.59919,0.215687,-0.688696,1.58707,0.213687,-0.732933,1.49713,0.067922,0.608538,1.78059,0.0602688,0.253679,1.56649,0.254831,0.228118,1.59464,0.274761,0.00932872,1.41408,-0.165831,0.247004,1.60635,-0.223099,0.0470008,1.41005,0.147621,-0.170199,1.39911,0.168472,-0.446137,1.31911,-0.0112446,-0.173803,1.45857,-0.0106092,-0.447975,1.45632,2.06019e-006,6.59699e-006,2.37324e-007,4.4482e-008,4.46173e-007,3.08482e-007,1.14747e-006,1.50001e-006,1.84832e-007,7.33302e-008,1.25993e-005,3.44095e-005,
0.0805825,0.0703547,1.70425,0.0800219,0.138522,1.71035,0.0716457,0.482478,1.71296,0.0786686,0.657271,1.63188,-0.112003,0.376591,1.73333,-0.223503,0.156549,1.72912,-0.28978,-0.0432433,1.68305,-0.274681,-0.10807,1.65381,0.243131,0.368641,1.71571,0.317679,0.118664,1.70717,0.354608,-0.0927909,1.67048,0.354745,-0.152528,1.64179,0.00191572,-0.00888223,1.70101,-0.0199452,-0.390211,1.73717,-0.00406536,-0.674734,1.77803,-0.00524194,-0.733964,1.69345,0.163115,-0.0111519,1.70038,0.210012,-0.391121,1.62106,0.233914,-0.668964,1.63226,0.231218,-0.712835,1.54151,0.0811697,0.615464,1.80622,0.0705958,0.256376,1.58473,0.263581,0.229033,1.60876,0.282495,0.010872,1.41929,-0.157688,0.250576,1.62735,-0.215682,0.0476111,1.4338,0.158892,-0.171304,1.4144,0.183785,-0.438875,1.34687,-0.00767767,-0.16995,1.46411,-0.00994037,-0.440887,1.45529,1.50455e-006,4.26877e-006,1.88796e-007,4.35804e-008,3.72492e-007,2.16084e-007,1.29738e-006,1.8013e-006,1.77921e-007,2.94192e-008,9.90028e-006,4.43098e-005,
0.0884515,0.0699221,1.71829,0.0883179,0.138649,1.72613,0.0824272,0.485615,1.73038,0.0908541,0.664379,1.65412,-0.10271,0.379874,1.75252,-0.214935,0.156624,1.75037,-0.282614,-0.0443816,1.70881,-0.266239,-0.10877,1.69023,0.253447,0.368322,1.73216,0.325638,0.118856,1.71645,0.365342,-0.091447,1.67319,0.362609,-0.151534,1.64147,0.00903176,-0.00872293,1.7142,-0.0184613,-0.384777,1.73827,-0.0037148,-0.669318,1.77691,-0.00512135,-0.727783,1.69183,0.170343,-0.0124956,1.71308,0.226821,-0.395927,1.6489,0.254359,-0.627578,1.67289,0.23145,-0.690004,1.65415,0.0935719,0.620997,1.82763,0.079245,0.25763,1.59932,0.27217,0.228974,1.62085,0.29035,0.0115174,1.42433,-0.149293,0.252154,1.64636,-0.20907,0.0471641,1.45354,0.169128,-0.173923,1.43166,0.199209,-0.423731,1.37522,-0.00401546,-0.167568,1.4702,-0.00918089,-0.436395,1.45529,1.06243e-006,3.96403e-006,1.40959e-007,3.62995e-008,6.94784e-007,4.55206e-007,1.34488e-006,1.55935e-006,2.37605e-007,1.71644e-008,9.5127e-006,5.38225e-005,
0.0966611,0.0683978,1.73155,0.0970408,0.137712,1.741,0.0936226,0.488359,1.74662,0.100932,0.668797,1.67032,-0.0928813,0.383217,1.77136,-0.198899,0.157415,1.78612,-0.274474,-0.0427981,1.74078,-0.260622,-0.110372,1.72032,0.262192,0.367318,1.74482,0.333827,0.118349,1.72512,0.374385,-0.0908881,1.67529,0.370828,-0.150566,1.64073,0.0166054,-0.00933489,1.72702,-0.0151262,-0.382361,1.74252,-0.00268322,-0.666512,1.77759,-0.00505783,-0.723727,1.69095,0.178039,-0.0150963,1.72535,0.239966,-0.403564,1.67907,0.271154,-0.612892,1.71669,0.239097,-0.689604,1.74407,0.105059,0.624864,1.84515,0.0882441,0.258196,1.613,0.280128,0.228263,1.63087,0.29759,0.011539,1.42885,-0.137137,0.254097,1.67201,-0.198911,0.0481618,1.482,0.178003,-0.178282,1.44974,0.211604,-0.420813,1.40585,0.000629868,-0.1668,1.47747,-0.00737311,-0.434234,1.45733,1.70299e-006,3.58515e-006,1.51005e-007,2.95307e-008,2.8071e-007,2.15041e-007,7.85211e-007,8.98609e-007,2.55027e-007,2.90416e-008,7.93231e-006,6.17548e-005,
0.104224,0.0675534,1.74291,0.10558,0.137209,1.75458,0.105869,0.490588,1.76237,0.120591,0.674429,1.6922,-0.0827432,0.386812,1.78877,-0.191102,0.157543,1.80255,-0.266735,-0.0439981,1.77128,-0.255774,-0.113656,1.75668,0.273612,0.366237,1.75822,0.341619,0.117649,1.73232,0.382615,-0.0907077,1.67697,0.376966,-0.149967,1.63984,0.0234975,-0.00940957,1.73826,-0.0106347,-0.382329,1.74902,-0.00114801,-0.666695,1.78022,-0.00495973,-0.720861,1.69057,0.184809,-0.0170124,1.73527,0.248055,-0.406963,1.70258,0.281041,-0.617398,1.75074,0.256735,-0.684959,1.71927,0.122288,0.629109,1.86546,0.0974304,0.258838,1.62557,0.289159,0.227426,1.64055,0.304323,0.0113208,1.43258,-0.128707,0.255847,1.68792,-0.192383,0.0477114,1.50173,0.184331,-0.180546,1.46398,0.219046,-0.424085,1.42968,0.00547746,-0.166818,1.48502,-0.00487806,-0.434296,1.4611,8.69157e-007,2.9291e-006,1.3804e-007,2.81911e-008,3.03387e-007,2.67457e-007,2.08508e-006,2.31146e-006,2.78937e-007,4.24892e-008,9.2533e-006,7.10081e-005,
0.111616,0.0673006,1.75339,0.114024,0.13705,1.7672,0.117728,0.491449,1.77537,0.132616,0.67677,1.70552,-0.0714402,0.388523,1.80279,-0.180994,0.158302,1.82223,-0.257609,-0.0437383,1.80328,-0.251655,-0.115559,1.7806,0.28485,0.364745,1.76969,0.350534,0.116414,1.73859,0.389869,-0.0911872,1.6782,0.381748,-0.149735,1.63895,0.0306045,-0.00922879,1.74901,-0.00547107,-0.383571,1.75654,-0.000287187,-0.669031,1.78391,-0.0049996,-0.719031,1.69083,0.191022,-0.0177414,1.74449,0.259225,-0.427662,1.74692,0.289409,-0.639409,1.79189,0.254231,-0.70981,1.81268,0.135185,0.630838,1.87968,0.106358,0.25912,1.63646,0.29863,0.226144,1.64889,0.311117,0.0106002,1.43574,-0.118644,0.257008,1.70376,-0.184301,0.0481398,1.52344,0.191733,-0.18967,1.48678,0.227135,-0.441767,1.46507,0.0107028,-0.16727,1.4928,-0.00238392,-0.435778,1.46575,1.43702e-006,3.61486e-006,1.53495e-007,3.49523e-008,3.05919e-007,2.20309e-007,7.53871e-007,1.06199e-006,3.46449e-007,5.49294e-008,7.98379e-006,7.89919e-005,
0.120739,0.0675701,1.76417,0.124501,0.137321,1.78037,0.132301,0.492501,1.78857,0.152231,0.680074,1.7226,-0.0569536,0.389922,1.81668,-0.171331,0.159006,1.84039,-0.247229,-0.0441448,1.83099,-0.243203,-0.117679,1.81207,0.296881,0.363353,1.78042,0.361217,0.11392,1.74456,0.397248,-0.0929316,1.67953,0.38596,-0.149738,1.63825,0.039632,-0.00877659,1.75987,0.000567487,-0.386986,1.76484,2.04513e-005,-0.672121,1.78759,-0.00524493,-0.718133,1.69168,0.198478,-0.0173492,1.75429,0.263622,-0.433018,1.77099,0.294538,-0.665158,1.82538,0.247869,-0.737551,1.85393,0.153647,0.63319,1.89603,0.117347,0.259733,1.64758,0.309306,0.224318,1.65674,0.318707,0.00881924,1.4388,-0.107294,0.257996,1.71882,-0.175879,0.0482647,1.54271,0.19678,-0.191784,1.5012,0.231078,-0.454645,1.4889,0.0171186,-0.168532,1.50096,0.000243406,-0.43847,1.47071,1.11687e-006,3.85367e-006,1.325e-007,3.35058e-008,2.82663e-007,1.54331e-007,8.72201e-007,9.56136e-007,3.95815e-007,5.23088e-008,7.85e-006,8.68419e-005,
0.131302,0.0678072,1.77556,0.136339,0.137516,1.79381,0.147706,0.493442,1.80037,0.168951,0.682132,1.7352,-0.0424167,0.391083,1.82951,-0.161651,0.16007,1.85756,-0.239533,-0.0434591,1.8519,-0.236754,-0.118471,1.83311,0.307972,0.36178,1.78949,0.371623,0.111066,1.75023,0.404177,-0.0952942,1.68116,0.389585,-0.149993,1.63787,0.0501808,-0.00832905,1.77174,0.0067059,-0.391196,1.77288,0.000286923,-0.674813,1.7908,-0.00559414,-0.717901,1.69302,0.207291,-0.016589,1.76501,0.267507,-0.434139,1.7971,0.299269,-0.688543,1.85637,0.244651,-0.756514,1.88119,0.170995,0.63481,1.90921,0.12939,0.260279,1.65834,0.31941,0.222238,1.66367,0.325991,0.00662715,1.44187,-0.0959118,0.259042,1.73292,-0.168578,0.0489998,1.55871,0.202188,-0.191938,1.51689,0.234646,-0.46479,1.51254,0.0242246,-0.170134,1.50944,0.00289503,-0.441328,1.47537,1.5488e-006,5.04211e-006,1.77346e-007,2.89564e-008,3.74045e-007,2.53525e-007,1.846e-006,9.36337e-007,4.25142e-007,4.77859e-008,1.06801e-005,9.7522e-005,
0.144336,0.0684743,1.78844,0.150505,0.138082,1.80856,0.165316,0.494566,1.8129,0.190926,0.683888,1.74902,-0.023809,0.392972,1.843,-0.149655,0.163326,1.87586,-0.225319,-0.0404047,1.88004,-0.226067,-0.107397,1.86665,0.322989,0.359447,1.80036,0.382043,0.10871,1.7557,0.409813,-0.0973658,1.6829,0.393026,-0.150681,1.63796,0.0625125,-0.0068762,1.78422,0.0128199,-0.39578,1.78015,0.000404974,-0.677457,1.79381,-0.00601687,-0.718357,1.69485,0.219336,-0.0154917,1.77865,0.27412,-0.44935,1.8351,0.302198,-0.700547,1.87334,0.243434,-0.766505,1.89657,0.192371,0.636365,1.92344,0.143601,0.26111,1.67012,0.331365,0.220034,1.67135,0.332738,0.00476687,1.4449,-0.081528,0.26146,1.74786,-0.157564,0.0516515,1.57823,0.210133,-0.197948,1.53888,0.238596,-0.476057,1.5353,0.0320795,-0.171467,1.51785,0.00547509,-0.44432,1.47962,1.78314e-006,5.92076e-006,3.30115e-007,4.21331e-008,4.76563e-007,2.69224e-007,8.60316e-007,2.87095e-007,6.59149e-007,1.03177e-007,1.07317e-005,0.000108254,
